agent-type,agent-id,triadstack,tick
basic-agents,B-ID-1,[[Oil -1 TS-B-ID-1-T-ID-1] [Trade 2 TS-B-ID-1-T-ID-2] [Persec 1.3 TS-B-ID-1-T-ID-3] [Oil 1 TS-B-ID-1-T-ID-4] [Oil -2 TS-B-ID-1-T-ID-5] [Oil -1.5 TS-B-ID-1-T-ID-6]],0
basic-agents,B-ID-2,[[Oil -1 TS-B-ID-2-T-ID-1] [Trade 2 TS-B-ID-2-T-ID-2] [Persec 1.3 TS-B-ID-2-T-ID-3] [Oil 1 TS-B-ID-2-T-ID-4] [Oil -2 TS-B-ID-2-T-ID-5] [Oil -1.5 TS-B-ID-2-T-ID-6]],0
basic-agents,B-ID-3,[[Oil -1 TS-B-ID-3-T-ID-1] [Trade 2 TS-B-ID-3-T-ID-2] [Persec 1.3 TS-B-ID-3-T-ID-3] [Oil 1 TS-B-ID-3-T-ID-4] [Oil -2 TS-B-ID-3-T-ID-5] [Oil -1.5 TS-B-ID-3-T-ID-6]],0
basic-agents,B-ID-4,[[Oil -1 TS-B-ID-4-T-ID-1] [Trade 2 TS-B-ID-4-T-ID-2] [Persec 1.3 TS-B-ID-4-T-ID-3] [Oil 1 TS-B-ID-4-T-ID-4] [Oil -2 TS-B-ID-4-T-ID-5] [Oil -1.5 TS-B-ID-4-T-ID-6]],0
basic-agents,B-ID-5,[[Oil -1 TS-B-ID-5-T-ID-1] [Trade 2 TS-B-ID-5-T-ID-2] [Persec 1.3 TS-B-ID-5-T-ID-3] [Oil 1 TS-B-ID-5-T-ID-4] [Oil -2 TS-B-ID-5-T-ID-5] [Oil -1.5 TS-B-ID-5-T-ID-6]],0
basic-agents,B-ID-6,[[Oil -1 TS-B-ID-6-T-ID-1] [Trade 2 TS-B-ID-6-T-ID-2] [Persec 1.3 TS-B-ID-6-T-ID-3] [Oil 1 TS-B-ID-6-T-ID-4] [Oil -2 TS-B-ID-6-T-ID-5] [Oil -1.5 TS-B-ID-6-T-ID-6]],0
basic-agents,B-ID-7,[[Oil -1 TS-B-ID-7-T-ID-1] [Trade 2 TS-B-ID-7-T-ID-2] [Persec 1.3 TS-B-ID-7-T-ID-3] [Oil 1 TS-B-ID-7-T-ID-4] [Oil -2 TS-B-ID-7-T-ID-5] [Oil -1.5 TS-B-ID-7-T-ID-6]],0
basic-agents,B-ID-8,[[Oil -1 TS-B-ID-8-T-ID-1] [Trade 2 TS-B-ID-8-T-ID-2] [Persec 1.3 TS-B-ID-8-T-ID-3] [Oil 1 TS-B-ID-8-T-ID-4] [Oil -2 TS-B-ID-8-T-ID-5] [Oil -1.5 TS-B-ID-8-T-ID-6]],0
basic-agents,B-ID-9,[[Oil -1 TS-B-ID-9-T-ID-1] [Trade 2 TS-B-ID-9-T-ID-2] [Persec 1.3 TS-B-ID-9-T-ID-3] [Oil 1 TS-B-ID-9-T-ID-4] [Oil -2 TS-B-ID-9-T-ID-5] [Oil -1.5 TS-B-ID-9-T-ID-6]],0
basic-agents,B-ID-10,[[Oil -1 TS-B-ID-10-T-ID-1] [Trade 2 TS-B-ID-10-T-ID-2] [Persec 1.3 TS-B-ID-10-T-ID-3] [Oil 1 TS-B-ID-10-T-ID-4] [Oil -2 TS-B-ID-10-T-ID-5] [Oil -1.5 TS-B-ID-10-T-ID-6]],0
