SendingAgentID,ReceivingAgentID,Received,InformationPacketID,Endorsement,ChangeInAmplification,Tick,timestamp
B-ID-1,B-ID-2,0,IP-6,false,0.1,5,01:23:22.093 PM 27-Jan-2023
B-ID-1,B-ID-3,0,IP-6,false,-0.1,5,01:23:22.096 PM 27-Jan-2023
B-ID-1,B-ID-4,0,IP-6,false,-0.1,5,01:23:22.101 PM 27-Jan-2023
B-ID-1,B-ID-5,0,IP-6,false,-0.1,5,01:23:22.105 PM 27-Jan-2023
B-ID-1,B-ID-6,0,IP-6,false,-0.1,5,01:23:22.107 PM 27-Jan-2023
B-ID-2,B-ID-1,0,IP-4,false,-0.1,5,01:23:22.113 PM 27-Jan-2023
B-ID-2,B-ID-4,0,IP-4,false,0.1,5,01:23:22.117 PM 27-Jan-2023
B-ID-2,B-ID-5,0,IP-4,false,0.1,5,01:23:22.120 PM 27-Jan-2023
B-ID-2,B-ID-7,0,IP-4,false,0.1,5,01:23:22.122 PM 27-Jan-2023
B-ID-3,B-ID-1,0,IP-6,false,-0.1,5,01:23:22.127 PM 27-Jan-2023
B-ID-3,B-ID-2,0,IP-6,false,-0.1,5,01:23:22.131 PM 27-Jan-2023
B-ID-3,B-ID-4,0,IP-6,false,-0.1,5,01:23:22.134 PM 27-Jan-2023
B-ID-3,B-ID-5,0,IP-6,false,-0.1,5,01:23:22.137 PM 27-Jan-2023
B-ID-3,B-ID-6,0,IP-6,false,0.1,5,01:23:22.140 PM 27-Jan-2023
B-ID-3,B-ID-7,0,IP-6,false,0.1,5,01:23:22.144 PM 27-Jan-2023
B-ID-3,B-ID-8,0,IP-6,false,-0.1,5,01:23:22.146 PM 27-Jan-2023
B-ID-4,B-ID-1,0,IP-6,false,0.1,5,01:23:22.152 PM 27-Jan-2023
B-ID-4,B-ID-2,0,IP-6,false,0.1,5,01:23:22.155 PM 27-Jan-2023
B-ID-4,B-ID-3,0,IP-6,false,-0.1,5,01:23:22.158 PM 27-Jan-2023
B-ID-4,B-ID-5,0,IP-6,false,0.1,5,01:23:22.161 PM 27-Jan-2023
B-ID-4,B-ID-6,0,IP-6,false,-0.1,5,01:23:22.163 PM 27-Jan-2023
B-ID-4,B-ID-7,0,IP-6,false,0.1,5,01:23:22.166 PM 27-Jan-2023
B-ID-4,B-ID-8,0,IP-6,false,-0.1,5,01:23:22.169 PM 27-Jan-2023
B-ID-5,B-ID-1,0,IP-6,false,0.1,5,01:23:22.173 PM 27-Jan-2023
B-ID-5,B-ID-2,0,IP-6,false,-0.1,5,01:23:22.176 PM 27-Jan-2023
B-ID-5,B-ID-3,0,IP-6,false,0.1,5,01:23:22.179 PM 27-Jan-2023
B-ID-5,B-ID-4,0,IP-6,false,0.1,5,01:23:22.182 PM 27-Jan-2023
B-ID-5,B-ID-6,0,IP-6,false,-0.1,5,01:23:22.185 PM 27-Jan-2023
B-ID-5,B-ID-7,0,IP-6,false,-0.1,5,01:23:22.187 PM 27-Jan-2023
B-ID-5,B-ID-9,0,IP-6,false,-0.1,5,01:23:22.189 PM 27-Jan-2023
B-ID-5,B-ID-10,0,IP-6,false,-0.1,5,01:23:22.191 PM 27-Jan-2023
B-ID-5,B-ID-400,0,IP-6,false,0.1,5,01:23:22.194 PM 27-Jan-2023
B-ID-6,B-ID-1,0,IP-6,false,-0.1,5,01:23:22.199 PM 27-Jan-2023
B-ID-6,B-ID-3,0,IP-6,false,0.1,5,01:23:22.202 PM 27-Jan-2023
B-ID-6,B-ID-4,0,IP-6,false,-0.1,5,01:23:22.205 PM 27-Jan-2023
B-ID-6,B-ID-5,0,IP-6,false,0.1,5,01:23:22.207 PM 27-Jan-2023
B-ID-6,B-ID-7,0,IP-6,false,0.1,5,01:23:22.209 PM 27-Jan-2023
B-ID-6,B-ID-8,0,IP-6,false,-0.1,5,01:23:22.211 PM 27-Jan-2023
B-ID-6,B-ID-9,0,IP-6,false,0.1,5,01:23:22.213 PM 27-Jan-2023
B-ID-6,B-ID-10,0,IP-6,false,0.1,5,01:23:22.216 PM 27-Jan-2023
B-ID-6,B-ID-11,0,IP-6,false,-0.1,5,01:23:22.218 PM 27-Jan-2023
B-ID-6,B-ID-11,0,IP-6,false,-0.1,5,01:23:22.219 PM 27-Jan-2023
B-ID-7,B-ID-2,0,IP-6,false,-0.1,5,01:23:22.224 PM 27-Jan-2023
B-ID-7,B-ID-3,0,IP-6,false,-0.1,5,01:23:22.227 PM 27-Jan-2023
B-ID-7,B-ID-4,0,IP-6,false,0.1,5,01:23:22.229 PM 27-Jan-2023
B-ID-7,B-ID-5,0,IP-6,false,-0.1,5,01:23:22.231 PM 27-Jan-2023
B-ID-7,B-ID-6,0,IP-6,false,-0.1,5,01:23:22.234 PM 27-Jan-2023
B-ID-7,B-ID-8,0,IP-6,false,0.1,5,01:23:22.237 PM 27-Jan-2023
B-ID-7,B-ID-9,0,IP-6,false,-0.1,5,01:23:22.239 PM 27-Jan-2023
B-ID-7,B-ID-10,0,IP-6,false,-0.1,5,01:23:22.241 PM 27-Jan-2023
B-ID-7,B-ID-20,0,IP-6,false,0.1,5,01:23:22.243 PM 27-Jan-2023
B-ID-7,B-ID-359,0,IP-6,false,-0.1,5,01:23:22.245 PM 27-Jan-2023
B-ID-8,B-ID-5,0,IP-6,false,0.1,5,01:23:22.251 PM 27-Jan-2023
B-ID-8,B-ID-6,0,IP-6,false,-0.1,5,01:23:22.254 PM 27-Jan-2023
B-ID-8,B-ID-7,0,IP-6,false,-0.1,5,01:23:22.256 PM 27-Jan-2023
B-ID-8,B-ID-9,0,IP-6,false,-0.1,5,01:23:22.258 PM 27-Jan-2023
B-ID-8,B-ID-10,0,IP-6,false,-0.1,5,01:23:22.261 PM 27-Jan-2023
B-ID-8,B-ID-11,0,IP-6,false,0.1,5,01:23:22.263 PM 27-Jan-2023
B-ID-8,B-ID-13,0,IP-6,false,0.1,5,01:23:22.266 PM 27-Jan-2023
B-ID-9,B-ID-5,0,IP-6,false,-0.1,5,01:23:22.270 PM 27-Jan-2023
B-ID-9,B-ID-6,0,IP-6,false,0.1,5,01:23:22.274 PM 27-Jan-2023
B-ID-9,B-ID-8,0,IP-6,false,0.1,5,01:23:22.276 PM 27-Jan-2023
B-ID-9,B-ID-10,0,IP-6,false,0.1,5,01:23:22.279 PM 27-Jan-2023
B-ID-9,B-ID-11,0,IP-6,false,0.1,5,01:23:22.281 PM 27-Jan-2023
B-ID-9,B-ID-12,0,IP-6,false,-0.1,5,01:23:22.285 PM 27-Jan-2023
B-ID-9,B-ID-13,0,IP-6,false,0.1,5,01:23:22.287 PM 27-Jan-2023
B-ID-9,B-ID-14,0,IP-6,false,-0.1,5,01:23:22.289 PM 27-Jan-2023
B-ID-10,B-ID-6,0,IP-6,false,-0.1,5,01:23:22.294 PM 27-Jan-2023
B-ID-10,B-ID-7,0,IP-6,false,-0.1,5,01:23:22.297 PM 27-Jan-2023
B-ID-10,B-ID-8,0,IP-6,false,0.1,5,01:23:22.301 PM 27-Jan-2023
B-ID-10,B-ID-9,0,IP-6,false,0.1,5,01:23:22.303 PM 27-Jan-2023
B-ID-10,B-ID-12,0,IP-6,false,-0.1,5,01:23:22.305 PM 27-Jan-2023
B-ID-10,B-ID-13,0,IP-6,false,0.1,5,01:23:22.307 PM 27-Jan-2023
B-ID-10,B-ID-15,0,IP-6,false,0.1,5,01:23:22.309 PM 27-Jan-2023
B-ID-10,B-ID-345,0,IP-6,false,-0.1,5,01:23:22.310 PM 27-Jan-2023
B-ID-11,B-ID-6,0,IP-6,false,0.1,5,01:23:22.316 PM 27-Jan-2023
B-ID-11,B-ID-8,0,IP-6,false,-0.1,5,01:23:22.318 PM 27-Jan-2023
B-ID-11,B-ID-9,0,IP-6,false,0.1,5,01:23:22.322 PM 27-Jan-2023
B-ID-11,B-ID-10,0,IP-6,false,-0.1,5,01:23:22.325 PM 27-Jan-2023
B-ID-11,B-ID-12,0,IP-6,false,0.1,5,01:23:22.327 PM 27-Jan-2023
B-ID-11,B-ID-13,0,IP-6,false,-0.1,5,01:23:22.330 PM 27-Jan-2023
B-ID-11,B-ID-14,0,IP-6,false,0.1,5,01:23:22.333 PM 27-Jan-2023
B-ID-11,B-ID-16,0,IP-6,false,0.1,5,01:23:22.335 PM 27-Jan-2023
B-ID-11,B-ID-31,0,IP-6,false,0.1,5,01:23:22.338 PM 27-Jan-2023
B-ID-12,B-ID-9,0,IP-6,false,0.1,5,01:23:22.343 PM 27-Jan-2023
B-ID-12,B-ID-10,0,IP-6,false,0.1,5,01:23:22.348 PM 27-Jan-2023
B-ID-12,B-ID-11,0,IP-6,false,-0.1,5,01:23:22.353 PM 27-Jan-2023
B-ID-12,B-ID-14,0,IP-6,false,-0.1,5,01:23:22.357 PM 27-Jan-2023
B-ID-12,B-ID-15,0,IP-6,false,-0.1,5,01:23:22.361 PM 27-Jan-2023
B-ID-12,B-ID-16,0,IP-6,false,0.1,5,01:23:22.363 PM 27-Jan-2023
B-ID-12,B-ID-419,0,IP-6,false,0.1,5,01:23:22.367 PM 27-Jan-2023
B-ID-12,B-ID-427,0,IP-6,false,0.1,5,01:23:22.370 PM 27-Jan-2023
B-ID-13,B-ID-8,0,IP-6,false,-0.1,5,01:23:22.377 PM 27-Jan-2023
B-ID-13,B-ID-10,0,IP-6,false,-0.1,5,01:23:22.379 PM 27-Jan-2023
B-ID-13,B-ID-11,0,IP-6,false,-0.1,5,01:23:22.386 PM 27-Jan-2023
B-ID-13,B-ID-14,0,IP-6,false,-0.1,5,01:23:22.389 PM 27-Jan-2023
B-ID-13,B-ID-15,0,IP-6,false,-0.1,5,01:23:22.394 PM 27-Jan-2023
B-ID-13,B-ID-16,0,IP-6,false,0.1,5,01:23:22.398 PM 27-Jan-2023
B-ID-13,B-ID-17,0,IP-6,false,-0.1,5,01:23:22.402 PM 27-Jan-2023
B-ID-13,B-ID-18,0,IP-6,false,-0.1,5,01:23:22.406 PM 27-Jan-2023
B-ID-14,B-ID-9,0,IP-6,false,-0.1,5,01:23:22.414 PM 27-Jan-2023
B-ID-14,B-ID-9,0,IP-1,false,-0.1,5,01:23:22.416 PM 27-Jan-2023
B-ID-14,B-ID-11,0,IP-6,false,0.1,5,01:23:22.419 PM 27-Jan-2023
B-ID-14,B-ID-11,0,IP-1,false,0.1,5,01:23:22.420 PM 27-Jan-2023
B-ID-14,B-ID-12,0,IP-6,false,0.1,5,01:23:22.424 PM 27-Jan-2023
B-ID-14,B-ID-12,0,IP-1,false,0.1,5,01:23:22.425 PM 27-Jan-2023
B-ID-14,B-ID-13,0,IP-6,false,0.1,5,01:23:22.429 PM 27-Jan-2023
B-ID-14,B-ID-13,0,IP-1,false,0.1,5,01:23:22.429 PM 27-Jan-2023
B-ID-14,B-ID-15,0,IP-6,false,0.1,5,01:23:22.433 PM 27-Jan-2023
B-ID-14,B-ID-15,0,IP-1,false,0.1,5,01:23:22.434 PM 27-Jan-2023
B-ID-14,B-ID-16,0,IP-6,false,0.1,5,01:23:22.437 PM 27-Jan-2023
B-ID-14,B-ID-16,0,IP-1,false,0.1,5,01:23:22.438 PM 27-Jan-2023
B-ID-14,B-ID-18,0,IP-6,false,-0.1,5,01:23:22.446 PM 27-Jan-2023
B-ID-14,B-ID-18,0,IP-1,false,-0.1,5,01:23:22.446 PM 27-Jan-2023
B-ID-14,B-ID-310,0,IP-6,false,-0.1,5,01:23:22.449 PM 27-Jan-2023
B-ID-14,B-ID-310,0,IP-1,false,-0.1,5,01:23:22.450 PM 27-Jan-2023
B-ID-15,B-ID-10,0,IP-6,false,0.1,5,01:23:22.458 PM 27-Jan-2023
B-ID-15,B-ID-12,0,IP-6,false,-0.1,5,01:23:22.464 PM 27-Jan-2023
B-ID-15,B-ID-13,0,IP-6,false,0.1,5,01:23:22.468 PM 27-Jan-2023
B-ID-15,B-ID-14,0,IP-6,false,-0.1,5,01:23:22.472 PM 27-Jan-2023
B-ID-15,B-ID-16,0,IP-6,false,-0.1,5,01:23:22.476 PM 27-Jan-2023
B-ID-15,B-ID-17,0,IP-6,false,0.1,5,01:23:22.480 PM 27-Jan-2023
B-ID-15,B-ID-18,0,IP-6,false,-0.1,5,01:23:22.484 PM 27-Jan-2023
B-ID-15,B-ID-19,0,IP-6,false,-0.1,5,01:23:22.488 PM 27-Jan-2023
B-ID-16,B-ID-11,0,IP-6,false,0.1,5,01:23:22.495 PM 27-Jan-2023
B-ID-16,B-ID-12,0,IP-6,false,0.1,5,01:23:22.500 PM 27-Jan-2023
B-ID-16,B-ID-13,0,IP-6,false,-0.1,5,01:23:22.505 PM 27-Jan-2023
B-ID-16,B-ID-14,0,IP-6,false,-0.1,5,01:23:22.509 PM 27-Jan-2023
B-ID-16,B-ID-15,0,IP-6,false,0.1,5,01:23:22.513 PM 27-Jan-2023
B-ID-16,B-ID-17,0,IP-6,false,0.1,5,01:23:22.518 PM 27-Jan-2023
B-ID-16,B-ID-18,0,IP-6,false,-0.1,5,01:23:22.522 PM 27-Jan-2023
B-ID-16,B-ID-19,0,IP-6,false,-0.1,5,01:23:22.526 PM 27-Jan-2023
B-ID-16,B-ID-20,0,IP-6,false,0.1,5,01:23:22.529 PM 27-Jan-2023
B-ID-16,B-ID-21,0,IP-6,false,-0.1,5,01:23:22.533 PM 27-Jan-2023
B-ID-18,B-ID-13,0,IP-6,false,0.1,5,01:23:22.550 PM 27-Jan-2023
B-ID-18,B-ID-14,0,IP-6,false,-0.1,5,01:23:22.553 PM 27-Jan-2023
B-ID-18,B-ID-15,0,IP-6,false,-0.1,5,01:23:22.557 PM 27-Jan-2023
B-ID-18,B-ID-16,0,IP-6,false,-0.1,5,01:23:22.560 PM 27-Jan-2023
B-ID-18,B-ID-17,0,IP-6,false,-0.1,5,01:23:22.562 PM 27-Jan-2023
B-ID-18,B-ID-19,0,IP-6,false,0.1,5,01:23:22.567 PM 27-Jan-2023
B-ID-18,B-ID-20,0,IP-6,false,0.1,5,01:23:22.569 PM 27-Jan-2023
B-ID-18,B-ID-22,0,IP-6,false,-0.1,5,01:23:22.571 PM 27-Jan-2023
B-ID-18,B-ID-23,0,IP-6,false,-0.1,5,01:23:22.574 PM 27-Jan-2023
B-ID-19,B-ID-15,0,IP-6,false,0.1,5,01:23:22.579 PM 27-Jan-2023
B-ID-19,B-ID-16,0,IP-6,false,-0.1,5,01:23:22.583 PM 27-Jan-2023
B-ID-19,B-ID-17,0,IP-6,false,-0.1,5,01:23:22.588 PM 27-Jan-2023
B-ID-19,B-ID-18,0,IP-6,false,0.1,5,01:23:22.590 PM 27-Jan-2023
B-ID-19,B-ID-20,0,IP-6,false,-0.1,5,01:23:22.593 PM 27-Jan-2023
B-ID-19,B-ID-22,0,IP-6,false,0.1,5,01:23:22.595 PM 27-Jan-2023
B-ID-19,B-ID-23,0,IP-6,false,0.1,5,01:23:22.598 PM 27-Jan-2023
B-ID-20,B-ID-7,0,IP-6,false,-0.1,5,01:23:22.603 PM 27-Jan-2023
B-ID-20,B-ID-16,0,IP-6,false,-0.1,5,01:23:22.607 PM 27-Jan-2023
B-ID-20,B-ID-18,0,IP-6,false,-0.1,5,01:23:22.609 PM 27-Jan-2023
B-ID-20,B-ID-19,0,IP-6,false,-0.1,5,01:23:22.612 PM 27-Jan-2023
B-ID-20,B-ID-21,0,IP-6,false,-0.1,5,01:23:22.616 PM 27-Jan-2023
B-ID-20,B-ID-22,0,IP-6,false,-0.1,5,01:23:22.618 PM 27-Jan-2023
B-ID-20,B-ID-23,0,IP-6,false,0.1,5,01:23:22.620 PM 27-Jan-2023
B-ID-20,B-ID-24,0,IP-6,false,0.1,5,01:23:22.623 PM 27-Jan-2023
B-ID-20,B-ID-25,0,IP-6,false,-0.1,5,01:23:22.625 PM 27-Jan-2023
B-ID-21,B-ID-16,0,IP-6,false,0.1,5,01:23:22.630 PM 27-Jan-2023
B-ID-21,B-ID-17,0,IP-6,false,0.1,5,01:23:22.634 PM 27-Jan-2023
B-ID-21,B-ID-22,0,IP-6,false,-0.1,5,01:23:22.637 PM 27-Jan-2023
B-ID-21,B-ID-23,0,IP-6,false,-0.1,5,01:23:22.639 PM 27-Jan-2023
B-ID-21,B-ID-24,0,IP-6,false,-0.1,5,01:23:22.641 PM 27-Jan-2023
B-ID-21,B-ID-25,0,IP-6,false,0.1,5,01:23:22.644 PM 27-Jan-2023
B-ID-21,B-ID-26,0,IP-6,false,-0.1,5,01:23:22.646 PM 27-Jan-2023
B-ID-22,B-ID-17,0,IP-6,false,0.1,5,01:23:22.651 PM 27-Jan-2023
B-ID-22,B-ID-18,0,IP-6,false,-0.1,5,01:23:22.654 PM 27-Jan-2023
B-ID-22,B-ID-19,0,IP-6,false,-0.1,5,01:23:22.657 PM 27-Jan-2023
B-ID-22,B-ID-20,0,IP-6,false,0.1,5,01:23:22.661 PM 27-Jan-2023
B-ID-22,B-ID-23,0,IP-6,false,0.1,5,01:23:22.663 PM 27-Jan-2023
B-ID-22,B-ID-24,0,IP-6,false,0.1,5,01:23:22.666 PM 27-Jan-2023
B-ID-22,B-ID-25,0,IP-6,false,0.1,5,01:23:22.669 PM 27-Jan-2023
B-ID-22,B-ID-26,0,IP-6,false,-0.1,5,01:23:22.672 PM 27-Jan-2023
B-ID-22,B-ID-27,0,IP-6,false,-0.1,5,01:23:22.673 PM 27-Jan-2023
B-ID-23,B-ID-18,0,IP-6,false,-0.1,5,01:23:22.679 PM 27-Jan-2023
B-ID-23,B-ID-19,0,IP-6,false,0.1,5,01:23:22.682 PM 27-Jan-2023
B-ID-23,B-ID-20,0,IP-6,false,-0.1,5,01:23:22.686 PM 27-Jan-2023
B-ID-23,B-ID-21,0,IP-6,false,-0.1,5,01:23:22.688 PM 27-Jan-2023
B-ID-23,B-ID-22,0,IP-6,false,0.1,5,01:23:22.691 PM 27-Jan-2023
B-ID-23,B-ID-25,0,IP-6,false,-0.1,5,01:23:22.694 PM 27-Jan-2023
B-ID-23,B-ID-26,0,IP-6,false,-0.1,5,01:23:22.697 PM 27-Jan-2023
B-ID-23,B-ID-27,0,IP-6,false,0.1,5,01:23:22.701 PM 27-Jan-2023
B-ID-23,B-ID-28,0,IP-6,false,0.1,5,01:23:22.703 PM 27-Jan-2023
B-ID-24,B-ID-20,0,IP-6,false,-0.1,5,01:23:22.709 PM 27-Jan-2023
B-ID-24,B-ID-21,0,IP-6,false,0.1,5,01:23:22.711 PM 27-Jan-2023
B-ID-24,B-ID-22,0,IP-6,false,-0.1,5,01:23:22.716 PM 27-Jan-2023
B-ID-24,B-ID-25,0,IP-6,false,-0.1,5,01:23:22.719 PM 27-Jan-2023
