InformationPacketID,InformationSourceID,IdentityGroupID,TopicID,Stance,tick,timestamp
IP-ID-156,0,0,topic-1,1,1,12:42:03.166 PM 27-Jan-2023
IP-ID-157,0,0,topic-2,0.5,1,12:42:03.166 PM 27-Jan-2023
IP-ID-158,0,0,topic-3,-1,1,12:42:03.167 PM 27-Jan-2023
IP-ID-159,0,0,topic-4,1,1,12:42:03.167 PM 27-Jan-2023
IP-ID-160,0,0,topic-5,2,1,12:42:03.167 PM 27-Jan-2023
IP-ID-161,0,0,topic-6,-1,1,12:42:03.167 PM 27-Jan-2023
IP-ID-162,0,0,topic-7,0.7,1,12:42:03.167 PM 27-Jan-2023
IP-ID-163,0,0,topic-8,3,1,12:42:03.167 PM 27-Jan-2023
IP-ID-164,0,0,topic-9,1,1,12:42:03.167 PM 27-Jan-2023
IP-ID-165,0,0,topic-10,-2,1,12:42:03.167 PM 27-Jan-2023
IP-ID-156,0,0,topic-1,1,2,01:11:38.580 PM 27-Jan-2023
IP-ID-157,0,0,topic-2,0.5,2,01:11:38.582 PM 27-Jan-2023
IP-ID-158,0,0,topic-3,-1,2,01:11:38.582 PM 27-Jan-2023
IP-ID-159,0,0,topic-4,1,2,01:11:38.582 PM 27-Jan-2023
IP-ID-160,0,0,topic-5,2,2,01:11:38.582 PM 27-Jan-2023
IP-ID-161,0,0,topic-6,-1,2,01:11:38.582 PM 27-Jan-2023
IP-ID-162,0,0,topic-7,0.7,2,01:11:38.582 PM 27-Jan-2023
IP-ID-163,0,0,topic-8,3,2,01:11:38.582 PM 27-Jan-2023
IP-ID-164,0,0,topic-9,1,2,01:11:38.582 PM 27-Jan-2023
IP-ID-165,0,0,topic-10,-2,2,01:11:38.582 PM 27-Jan-2023
IP-ID-156,0,0,topic-1,1,3,01:15:51.964 PM 27-Jan-2023
IP-ID-157,0,0,topic-2,0.10000000000000003,3,01:15:51.964 PM 27-Jan-2023
IP-ID-158,0,0,topic-3,-1.6000000000000005,3,01:15:51.964 PM 27-Jan-2023
IP-ID-159,0,0,topic-4,1.1,3,01:15:51.964 PM 27-Jan-2023
IP-ID-160,0,0,topic-5,2.1,3,01:15:51.964 PM 27-Jan-2023
IP-ID-161,0,0,topic-6,-1.1,3,01:15:51.964 PM 27-Jan-2023
IP-ID-162,0,0,topic-7,0.7,3,01:15:51.964 PM 27-Jan-2023
IP-ID-163,0,0,topic-8,3,3,01:15:51.964 PM 27-Jan-2023
IP-ID-164,0,0,topic-9,1,3,01:15:51.964 PM 27-Jan-2023
IP-ID-165,0,0,topic-10,-2,3,01:15:51.964 PM 27-Jan-2023
IP-ID-156,0,0,topic-1,0.10000000000000014,4,01:19:27.746 PM 27-Jan-2023
IP-ID-157,0,0,topic-2,0.10000000000000003,4,01:19:27.746 PM 27-Jan-2023
IP-ID-158,0,0,topic-3,-1.2000000000000002,4,01:19:27.746 PM 27-Jan-2023
IP-ID-159,0,0,topic-4,0.40000000000000013,4,01:19:27.746 PM 27-Jan-2023
IP-ID-160,0,0,topic-5,2.3000000000000003,4,01:19:27.746 PM 27-Jan-2023
IP-ID-161,0,0,topic-6,-2.7000000000000015,4,01:19:27.746 PM 27-Jan-2023
IP-ID-162,0,0,topic-7,0.7,4,01:19:27.746 PM 27-Jan-2023
IP-ID-163,0,0,topic-8,3,4,01:19:27.746 PM 27-Jan-2023
IP-ID-164,0,0,topic-9,1,4,01:19:27.746 PM 27-Jan-2023
IP-ID-165,0,0,topic-10,-2,4,01:19:27.746 PM 27-Jan-2023
IP-ID-156,0,0,topic-1,3.7000000000000024,5,01:23:22.078 PM 27-Jan-2023
IP-ID-157,0,0,topic-2,0.6,5,01:23:22.078 PM 27-Jan-2023
IP-ID-158,0,0,topic-3,-2.5000000000000013,5,01:23:22.078 PM 27-Jan-2023
IP-ID-159,0,0,topic-4,1.2000000000000002,5,01:23:22.078 PM 27-Jan-2023
IP-ID-160,0,0,topic-5,2.4000000000000004,5,01:23:22.078 PM 27-Jan-2023
IP-ID-161,0,0,topic-6,-3.0000000000000018,5,01:23:22.078 PM 27-Jan-2023
IP-ID-162,0,0,topic-7,0.7,5,01:23:22.078 PM 27-Jan-2023
IP-ID-163,0,0,topic-8,3,5,01:23:22.078 PM 27-Jan-2023
IP-ID-164,0,0,topic-9,1,5,01:23:22.078 PM 27-Jan-2023
IP-ID-165,0,0,topic-10,-2,5,01:23:22.078 PM 27-Jan-2023
