agent-type,agent-id,TriadStackID,received-IP-list,sent-IP-list,country,county,Municipality,Coordinates,Gender,Age,Language,Nationality,PoliticalSpectrum,SocioeconomicStatus,EU,NATORussia,InformationDisseminationAgents,key_issue,tick no,timestamp
basic-agents,B-ID-1,TS-B-ID-1,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Old,NationalLanguage,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-2,TS-B-ID-2,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,Russian,Lithuanian,Center,UpperClass,AntiEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-3,TS-B-ID-3,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,NotApplicable,Both,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-4,TS-B-ID-4,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,NationalLanguage,Lithuanian,Undecided,LowerClass,AntiEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-5,TS-B-ID-5,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,NationalLanguage,Lithuanian,Undecided,MiddleClass,ProEU,Neutral,"['Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-6,TS-B-ID-6,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,NationalLanguage,Lithuanian,Right,LowerClass,AntiEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-7,TS-B-ID-7,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Old,NationalLanguage,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiRussia,['TV3 (tv3.lt)'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-8,TS-B-ID-8,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Young,NationalLanguage,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiRussia,"['Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-9,TS-B-ID-9,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,Both,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-10,TS-B-ID-10,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,Both,Russian,Left,MiddleClass,Undecided,ProNATOAntiRussia,"['Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
